,titles,category,summary
0,은혼  기,성인,에도 시대 말기  하늘에서 내려온  천인 의 침략으로 전쟁이 발생한다  막부들은 결국 천인과의 공존을 위해 사람들에게 검을 소지할 수 없도록 폐도령을 내려서 사무라이가 큰 위기를 겪고 있다  그러나 사무라이 정신을 굳게 간직한 남자가 있었으니 그의 이름은 사카타 긴토키  단 것을 좋아하는 저돌적인 이 남자가 부패한 에도를 두동강을 낼지도      코미디 액션   은혼의 장르는 은혼이다  
1,진격의 거인  기,성인,   여년 전  갑자기 나타난 거인들에 의해 멸종 위기에 처한 인류는 살아남기 위해    의 거대한 벽을 쌓고 그 안에서 숨죽이며 살아가고 있었다  그러던 어느 날  초대형 거인의 등장으로 벽은 무너지고  거인들이 벽 안으로 들어와 사람들을 잡아먹기 시작하는데    절규와 죽음으로 가득한 절망적인 상황에서 거인에게 소중한 사람들을 빼앗긴 엘런은 복수를 맹세한다 
2,도쿄 리벤저스 part  ,성인,밑바닥 인생을 살던 타케미치  중학교 시절 사귀었던 인생에서 유일한 연인이었던 히나타가 가장 흉포하고 악질적인 악당 연합  도쿄 만지회 에게 살해당했다는 것을 알게 된다  사건을 알게 된 다음 날  역 플랫폼에 있던 타케미치는 누군가에게 떠밀려 선로로 떨어지고 다가오는 열차를 보며 자신의 죽음을 직감한다  하지만 정신을 차리고 보니 어째서인지   년 전으로 타임 리프해 있었다  인생의 전성기였던   년 전 중학교 시절로 타임 리프해서 연인을 구하기 위해  계속 도망치기만 했던 자신을 바꾸기 위해 인생의 리벤지를 시작한다 
3,도쿄 리벤저스 part  ,성인,밑바닥 인생을 살던 타케미치  중학교 시절 사귀었던 인생에서 유일한 연인이었던 히나타가 가장 흉포하고 악질적인 악당 연합  도쿄 만지회 에게 살해당했다는 것을 알게 된다  사건을 알게 된 다음 날  역 플랫폼에 있던 타케미치는 누군가에게 떠밀려 선로로 떨어지고 다가오는 열차를 보며 자신의 죽음을 직감한다  하지만 정신을 차리고 보니 어째서인지   년 전으로 타임 리프해 있었다  인생의 전성기였던   년 전 중학교 시절로 타임 리프해서 연인을 구하기 위해  계속 도망치기만 했던 자신을 바꾸기 위해 인생의 리벤지를 시작한다 
4,오버로드  기,성인,가상 세계에서 현실처럼 플레이하는 체감형 게임  통칭         의 전성기     년      년에 발매된  위그드라실 은         들 중에서도 방대한 맵과 엄청나게 높은 플레이어 자유도로 인해 국내에서 폭발적인 인기를 얻었고         의 붐을 일으킨 장본인이다  그러나   년이 지난 지금 조용히 서비스를 종료할 예정이었다  위그드라실의 최강 마법사  모몬가는 쓸쓸히 나자릭 지하대분묘에서 종료시간을 기다리고 있었다  그러나 종료시간을 넘어도 로그아웃되지 않고     들도 갑자기 의지를 가지기 시작하는데  그의 앞에는 이제껏 본 적 없었던 이세계가 펼쳐지게 된다  
5,약속의 네버랜드  기,성인,어머니처럼 따르는 그녀는 친모가 아니다  함께 사는 그들은 형제가 아니다  이곳 그레이스 필드 하우스는 고아원으로 나는 고아  그렇게 생각하고 있었다 
6,오버로드  기,성인,아인즈는 고민하고 있었다  아인즈 울 고운 마도국의 왕으로서 이 나라를 어떻게 다스려야 할 것인가  알베도  데미우르고스 같은 우수한    들과 휴식 없이 일할 수 있는 언데드들 덕분에  마도국은 현재 안전하고 굶주림 없는 장소가 되어 있었다  하지만  그곳에서 살고 있는 사람들은 아직 공포와 불안감에 떨고 있었고  도시는 불이 꺼진 듯이 조용했으며 활기를 잃어버렸다  사람들의 웃음을 찾아볼 수 없는 가운데  아인즈는 모험자 조합에 방문해 조합장인 아인잭에게 어떤 제안을 했다  한편  갑자기 생겨난 마도국에 당혹스러워하던 주변 나라들의 지도자들도 각자 대항책을 강구하고 있었다  과연 아인즈는 각 나라의 모략을 저지하고 자신의 이상향을 만들어낼 수 있을 것인가 
7,오버로드  기,성인,오버로드  기      년  월 방영 시작 
8,흔해빠진 직업으로 세계최강  기,성인,왕따인 나구모 하지메는 같은 반 아이들과 함께 이세계로 소환된다  차례차례 사기적인 전투 능력을 발현하는 반 아이들과는 달리 연성사라는 평범한 능력을 손에 넣은 하지메  이세계에서도 최약인 그는 어떤 반 아이의 악의로 인해 미궁의 나락으로 떨어지고 마는데   탈출 방법을 찾을 수 없는 절망의 늪에서 연성사로서 최강에 도달하는 길을 발견한 하지메는 흡혈귀인 유에와 운명적인 만남을 갖는다   내가 유에를  유에가 나를 지킨다  그럼 최강이야  전부 쓰러뜨리고 세계를 뛰어넘자   나락으로 떨어진 소년과 가장 깊은 곳에 잠들어 있던 흡혈귀가 펼치는  최강  이세계 판타지 개막  그리고 소년은  최강 을 뛰어넘는다 
9,과호흡  리마스터링 ,성인, 공지  과호흡  리마스터링  버젼 교체 안내   월  일부로 과호흡이  리마스터링  버젼으로 영상 교체되었습니다  추가적인 영상 및 사운드 작업 등으로  감독님께서 많은 공을 들이신 버젼이에요   줄거리  겨울  명이는 학창시절에 짝사랑했던 선호를 만나기 위해 동창회에 왔다  숫기 없는 성격 탓에 술자리에 섞이지 못하고 담배를 핑계로 빠져 나온다  그때 선호도 따라 나서는데  
10,오버로드  기,성인,때는     년  한때 폭발적인 인기를 얻었던 가상 체감형 게임  위그드라실 은 서비스를 종료할 예정이었다  플레이어인 모몬가는 동료와 함께 나자릭 지하대분묘에서 서비스 종료시간을 기다리고 있었다  하지만 종료시간이 지나도 로그아웃이 되기는커녕    들이 갑자기 의지를 가지고 스스로 움직이기 시작했다  게다가 나자릭 밖으로 나가보니 본적도 없는 이세계가 펼쳐져 있었다  모몬가는 예전 동료들을 찾기 위해 길드의 이름이었던 아인즈 울 고운이라는 이름을 사용하고  이세계에 그 이름을 널리 퍼뜨리기로 결심한다  그리고 절대적인 충성을 맹세한 부하들과 함께 새로운 땅을 향해 진격한다 
11,진격의 거인  기 part  ,성인,백 년이라는 긴 시간 동안 인류와 바깥 세계의 사이를 막아온 벽  그 벽 너머에는 본 적 없는 세계가 펼쳐져 있었다  불꽃의 물  물의 대지  사막의 설원 등 책에 써있던 것들은 소년의 탐구심을 자극할 뿐이었다  이윽고 시간이 지나 벽이 거인들에게 파괴된 지금  인류는 세계의 진실을 향해 한발한발 내디딘다  거인의 정체는 무엇인가  왜 벽 안쪽은 거인으로 가득했는가  거인화한 엘런 예거가 가진 좌표의 힘이란 무엇인가  그리고 히스토리아 레이스는 이 세계의 무엇을 알고 있는가  엘렌을 비롯한    기 병사들이 포함된 새로운 체제의 리바이반  본격적으로 움직이기 시작한 그들의 앞을 가장 강한 최악의 적이 가로막는다 
