,titles,category,summary
0,콩순이 쑥쑥 요리동요,아동,엉뚱발랄 콩순이와 함께 신나게 노래하며 즐겁게 배워요 
1, 더빙  이퀘스트리아 걸스   롤러코스터 같은 우정,아동,애플잭과 레리티는 새로 개장하는 놀이공원  이퀘스트리아 랜드 에서 아르바이트를 하기 위해 지원하지만 애플잭은 뽑히지 않고 레리티만 뽑혔네요  원래 지원했던 아르바이트가 아닌 디자이너로서 일하게 된 레리티는  이퀘스트리아 랜드 의 홍보를 맡은     스타 비네트 발렌시아를 만나게 돼요  레리티의 초대로 친구들 모두  이퀘스트리아 랜드 에 놀러 가게 되고  비네트와 레리티가 순식간에 친해지자 애플잭은 기분이 언짢아 보여요  게다가 주변에 점점 이상한 일이 일어나기 시작해요 
2, 자막  체크 히어로,아동,불량 학생들에게 치이고 짝사랑하는 소녀에겐 말 한마디도 못하는 소심 소년  알렉스 는 삼촌에게 체크 무늬 인형을 선물 받는다  그 인형의 이름은 바로  체크 히어로    알렉스 는 자신을 학교 최고의 인기스타로 만들어주겠다는  체크 히어로 의 약속에 그의 임무를 돕기 시작한다  하지만 알렉스는 곧 히어로의 임무에 놀라운 비밀이 숨겨져 있음을 알게 되는데  
3, 자막  극장판 도라에몽   진구의 우주소전쟁,아동,친구와 함께라면 강해질 수 있어  여름방학 어느 날  진구가 주운 작은 로켓 안에서 손바닥만 한 우주인  파피 가 나타난다  우주의 머나먼 곳에 있는 작은 별  피리카 의 대통령인 그는 반란군에게서 도망쳐 지구에 왔다고 한다  처음에는 너무 작은  파피 의 사이즈에 당황하던 도라에몽과 진구는 비밀도구  스몰 라이트 로 작아져서 함께 놀며 친구가 된다  그러나 고래 형태의 우주전함이  파피 를 붙잡기 위해 지구에 나타나 이들을 공격하고  모두를 끌어들인 것에 책임감을 느낀  파피 는 홀로 반란군에 맞서고자 하는데  소중한 친구  파피 와 그의 별을 지키기 위한 도라에몽과 친구들의 우주 모험이 시작된다 
4,장난감이 살아있다,아동,깨어난 장난감들의 비글미 넘치는 토이 어드벤처  뭔가 특별한 일이 일어날 것 같은 어느 날  눈물 한방울이 장난감에 떨어진 후 모든 것이 달라졌다  타운에서 하나밖에 없는 테이블 축구 게임의 장난감들이 모두 깨어난 것  캡틴 루닌  골잡이 라면머리 날도  쌍둥이 수비수 트윈  음유시인 아트  들어본 적 있는 느낌적 느낌 갓지성  민머리 용병 레드까지   그런데 여긴 어디  테이블 축구 게임기가 아닌 공원 벤치  롤러코스터 꼭대기  쓰레기 집합소 등 다양하고 엉뚱한 곳에서 깨어난 장난감들  이들 앞에는 상상하지 못한 모험들이 기다리고 있는데 
5,애코와 친구들,아동,숫자 친구들 모두 모여라  숫자 모양으로 가득한 놀이동산 넘버랜드  애코와 친구들은 넘버랜드에서 즐겁고 신나는 일상을 보냅니다  한편  넘버랜드를 독차지하고 싶은 숫자 대마왕 마구마우는 부하 빵쥐들을 이용해 사건을 일으키는데  과연 애코와 친구들은 마구마우로부터 숫자친구들을 구할 수 있을까요 
6, 더빙  하니와 숲속친구들,아동,귀여운 숲속친구들 하니  포  쿠  티티가 봄  여름  가을  겨울 사계절을 배경으로 신비한 자연을 탐험하며 신나게 뛰논다  숲속 이곳저곳에서 새 친구들을 만나고  숲속에서 생기는 문제들을 함께 힘을 합쳐 해결하면서 우리의 아름다운 숲도 지켜낸다 
7, 더빙  리틀 뱀파이어,아동,뱀파이어 덕후인   살 소년 토니는 부모님과 독일 여행 중 진짜 뱀파이어 루돌프를 만난다    살 생일만    번째 맞이한 루돌프는 뱀파이어 사냥꾼의 공격을 피하던 중 토니를 만나 친구가 된다  그리고 두 소년은 뱀파이어 사냥꾼에게 붙잡힌 뱀파이어 패밀리를 구하기 위해 일생일대 꿈 같은 모험을 시작한다 
8, 더빙  캡틴 샤키,아동, 세상에서 제일 무서운    해적이 온다  자신이 세상에서 가장 무서운 해적이라 믿는 꼬마  샤키 는 나침반과 선원을 구하기 위해 홈포트섬으로 향한다  한편  우연히  샤키 의 장난으로 쫓기는 신세가 된  마이키 와 가출 소녀  보니 가 험난한 여정에 합류하게 되고  딸  보니 가 해적에게 납치되었다고 오해한 해군 제독과 포상금을 노리는 무자비한 해적들이  샤키 와 친구들을 뒤쫓기 시작하는데   과연  꼬마  샤키 는 친구들을 무사히 지키고 진정한 선장이 될 수 있을까 
9, 더빙  쫑알쫑알 똘똘이 시즌  ,아동,한 순간도 가만히 있지 못하는 선머슴같은 삼남매 가족 중  세 아이의 리얼한 일상을 그려내는 이야기로 동물과 교감할 수 있는 똘똘이의 특별한 능력 덕분에 코믹한 상황이 연출되기도 하고 뜻하지 않게 긴장되는 상황이 벌어지기도 한다  전체적으로 가족의 일상에서 진행되는 사건을 통해 일상의 소중함  가족의 사랑과 소중함을 함께 느낄 수 있으며 위험에 빠진 다른 친구들을 구하기 위해 동물친구들의 힘과 지혜를 모아 해결하는 일상을 그려내 아이들이 웃고 공감할 수 있는 천진난만하고 유쾌함이 있는 애니메이션이다 
