,titles,category,summary
0,소드 아트 온라인  기,sf,    년  인류는 마침내 완전한 가상 공간을 실현했다  모든 게이머가 꿈꿔왔던           가상 대규모 온라인 롤 플레잉 게임   소드 아트 온라인  이 정식 가동을 시작한다  주인공은 소드 아트 온라인 플레이어인 키리토  그는    의 세계에서 플레이를 만끽하던 중 다른  만 명의 플레이어와 함께 게임 마스터의 무자비한 선고를 듣는다     층까지 있다는 부유성 아인크라드의 정상을 정복해 게임을 클리어 하지 못하면 로그아웃을 할 수 없다고  그리고 게임 오버는 현실 세계에서  죽음 을 의미한다고    키리토는 재빨리 게임의  진실 을 받아들이고 파티를 짜지 않는 솔로 플레이어로 끝이 보이지 않는 사투에 몸을 던진다 
1, 자막  나의 히어로 아카데미아  기,sf,뉴 히어로 탄생에 주목하라   신세대 히어로  한국 상륙   인구의 약  할이 개성이라 불리는 초능력을 갖고 있는 초인 사회로 탈바꿈한 세계  대부분의 사람들이 개성을 보유하고 있기 때문에 이를 악용한 범죄가 폭발적으로 급증하고 이에맞서 싸우는 히어로들은 시민 모두의 동경의 대상이 되었다  세계의 평화를 수호하는 특수경찰과 같은 역할자  히어로 의 인기는 날이 갈수록 치솟기 시작하고 히어로를 양성하는 국립기관까지 세워질 정도  중학생 소년 미도리야 이즈쿠도 그런 히어로를 꿈꾼다  하지만 그는 히어로에게 필수적인  개성 을 타고나지 않았는데     타고난 초능력이 없어서 소외되던 작은 소년의 도전  성장  열정 스토리   그리고 새롭게 나온  기에서는 지난     습격 사건 이후의 이야기가 시작된다  드디어 유에이 체육제 시작   그리고 그랜 토리노 등장 
2, 자막  나의 히어로 아카데미아  기,sf,꿈을 향하여 계속 달린다  최고의 히어로가 되기위해  진정한 히어로가 되기위해   히어로    빌런 싸움이 시작된다 
3, 자막  나의 히어로 아카데미아  기,sf,꿈이 현실로  이것은 내가 최고의 히어로가 되기까지의 이야기다  어떤 사건을 계기로      히어로 올마이트와 만난  무개성  소년 미도리야 이즈쿠  그의 마음속에 숨겨진 히어로의 자질을 발견한 올마이트에게 개성  원 포 올 을 이어받는다  미도리야는 올마이트의 혹독한 훈련을 거쳐서 유에이 고교에 입학한다  바쿠고 카츠키  우라라카 오챠코 등의  학년  반 친구들과 서로를 향상시키며 성실한 나날을 보내고 있었다  그런 가운데 나라 전체가 주목하는 빅 이벤트  유에이 고교 체육대회  개최가 다가온다  오직 정상만을 바라보는 바쿠고  가족을 그리워하며 강한 의지로 도전하는 우라라카와 이이다 텐야  그리고 한 남자를 부정하기 위해서 우승을 노리는 토도로키 쇼토  게다가 히어로과  학년  반을 비롯한 새로운 친구들까지  유에이 고교 학생 전원이 투지를 불태우고 미도리야도 결의를 새로이 한다   나도 최선을 다해 쟁취하겠어   최고의 히어로를 향한 그들의 개성과 힘  그리고 자존심이 맞부딪히는 싸움이 시작된다 
4,암살교실  기,sf,어느 날 일반 진학교인 쿠누기가오카 중학교의 낙오자반이라고 불리는  학년  반에 정부 사람들과 인간이 아닌 정체불명의 생물이 찾아온다  이 수수께끼의 생물은 어느 날 갑자기 나타나 달의  할을 날려 버린 초생물로 내년에 지구를 날려버리겠다고 선언한 공공의 적  마하   의 속도로 하늘을 날며  상상을 초월한 공격력과 다양한 능력을 가진 이 생물이 무슨 이유에서인지  쿠누기가오카 중학교  학년  반의 선생님으로 일하겠다는 제안을 했고  세계는 그것을 받아들인 것이다 정부는 감시와 동시와 암살을 할 수 있기 때문에 이 제안을 승낙한다  암살 성공의 보수    억 엔과 인류의 운명을 걸고   명의 중학생과 살생님의 긴장감 넘치는 수업이 시작된다 
5, 자막  나의 히어로 아카데미아  기,sf,꿈을 형태로 만들기 위해  히어로가 되기 위해  유에이 고교 히어로과     반        반 대항전  자존심을 건 싸움이 시작된다  한계를 넘어서  라이벌을 뛰어넘어라  
6,소드 아트 온라인 앨리시제이션,sf,문득 정신이 든 키리토는 어째선지 어느 한 가상세계에 풀 다이브해 있었다  로그인 이후의 기억이 모호해  실마리를 찾기 위해 떠돌게 된 키리토는 칠흑의 거목  기가스시더 을 발견했고 거기서 한 소년을 만나게 된다   내 이름은 유지오  잘 부탁해  키리토   그 소년은 가상세계의 주민인    였음에도 인간과 똑같이 풍부한 감정을 지니고 있었다  유지오와 친한 사이가 되어가면서도 이 세계에서 로그아웃할 방법을 찾고 있던 키리토  그런 키리토에게 어느 한 기억이 뇌리에 스친다  그것은 어린 키리토와 유지오가 야산에서 뛰놀던 추억  있을 리가 없는 기억  그리고 그 기억 속에는 유지오 말고도 또 다른 금발의 여자아이가 있었다  이름은 앨리스  절대로 잊어선 안 되는 소중한 이름 
7,암살교실  기,sf,    년 화제작   일본 애니계의 화두는 단연 암살교실이다  마인탐정 네우로의 작가 마츠이 유세이의 차기작으로 전작을 뛰어넘는 인기를 구사하고 있다  특히 원피스  나루토  블리치  은혼 등이 연재되는 주간 소년점프에서 연재가 시작되고부터 쭉 인기투표 순위 최상위권을 유지하고 있는 화제의 작품이다   지구 멸망        지구를 구할 방법은 졸업 전까지 이 선생을 암살하는 것 뿐    어느 날 갑자기 달이 폭발해  할이 증발했다  그 사건의 범인은  년 후 지구도 폭발시킬 예정이라고 하는 초생물  그런데 어째서인지 그 괴물이 찾아간 곳은 어느 중학교 교실로  이곳에서 교사가 될 예정이라고 한다  마하  의 속도로 하늘을 나는 등 인간의 상식을 훨씬 뛰어넘는 능력을 갖고 있는 괴물  군대를 동원해도 죽일 수 없는 이 괴물의 암살을 각국의 수뇌들은 어쩔 수 없이 그 괴물이 담임을 맡을 쿠노기가오카 중학교  학년  반 학생들에게 의뢰하게 된다  성공보수는  억 엔   낙오자들의 클래스     의  반 학생들은 졸업할 때까지 이 암살대상인 교사   살선생님 을 죽일 수 있을 것인가    
8, 자막  나의 히어로 아카데미아  기,sf,근미래 일본  사람들의 생활양식은 지금과 크게 다를 바 없으나  환경호르몬과 공해  방사능 등 복합적인 요인으로 인구의 약  할이 돌연변이  즉 초능력을 가지고 태어나게 되었다  이런 초능력을  개성 이라 칭하며  눈동자나 머리색의 유전처럼 자연스럽게 받아들이는 사회  오히려 초능력이 없는 사람을 찾아보기 힘든 이 세계에서는 당연히 능력을 악용한 범죄가 급증하고  그런 범죄자들을 처단하는  정의의 사자 를 표방한 집단   히어로 가 생겨난다  초능력 범죄에 맞서 시민들의 평화를 지키는  일종의 특수경찰로서의 임무를 수행하는  히어로  집단의 인기는 연예인과 맞먹는다  이에 따라  청소년들이 가장 선호하는 장래의 꿈도 당연히  히어로   초능력이 보편적인 이 세계에는 일급 히어로를 양성하는 국립기관까지 설립된 상황  모든 이야기는  어릴 때부터  히어로 가 꿈이었지만 초능력을 타고나지 못해 주위에서 비웃음만 당하던   세 소년이  포기하지 않고 국립 히어로 학교인 유에이 고교 입학시험에 도전하면서 시작된다  
9,다 다 다 ,sf,어느 날 갑자기 부모님이 모두 미국     로 파견되면서 중학생인 예나는 평소 부모님이 잘 알고 지내던 절에 맡겨지게 된다  그리고 스님의 아들인 우주와 목욕탕에서 마주치며 심상치 않은 첫 만남을 갖는다  그런데 설상가상으로 평상시에 잘 나지도 않는 수행 허가로 인해 스님은 수행을 떠나버려 결국 절에는 예나와 우주 둘만 남게 된다  처음부터 사이가 좋지 않아 티격태격하던 두 사람 앞에 갑작스레 집마당에    가 불시착하고  그 안에서 공중을 떠다니는 아기가 발견된다  두 사람은 시터 팻 바바에게서 아기의 이름이 루다라는 얘기를 듣게 되는데 
