,titles,category,summary
0,고질라 대 헤도라,액션,공해로 인해 일본 각지가 썩어가고 있던     년대  우주에서 날아온 작은 생명체가 일본 연안의 공해물질과 융합해 성장하기 시작한다  커져가던 생명체는 이윽고 사상 최악의 공해괴수  헤도라 가 되어 각지를 유린한다  헤도라가 지나가기만 해도 순식간에 백골이 되는 사람들  모든 생명이 사라질 위기에 처하자 드디어 고지라가 일어선다  하지만 헤도라의 능력은 고지라 마저 압도하는데 
1,토이캅,액션,장난감 세상의 사건 사고를 해결하고 질서를 바로잡는 경찰 히어로  토이캅  대원들의 이야기를 그린 경찰 변신 로봇 애니메이션
2,경계의 저편   과거편   판권 부활       ,액션,요몽인 아버지와 인간인 어머니 사이에서 태어난  칸바라 아키히토 는 불사신의 능력을 지닌 반인반요의 소년이다  어느 날 그는 하굣길에 학교 옥상에서 당장에라도 뛰어내릴 것만 같은 소녀를 보게 된다  소녀의 이름은  쿠리야마 미라이   그녀는 평범한 소녀의 삶을 꿈꾸지만  저주받은 능력이라 치부되는 피를 조종할 수 있는 능력을 가진 일족 최후의 생존자다  이 저주받은 능력 때문에 그녀는 이계사 세계 내에서 이단으로 취급 받아 경멸의 대상이 되었다  하지만 홀로 살아남은 소녀와 반요의 소년이 만남으로써 변함없던 그들의 세계가 변하기 시작한다 
3,장화 신은 고양이 디 오리지널,액션,언제나 로맨스를 꿈꾸는 오리지널 장화신은 고양이와 방앗간 집 막내아들의 좌충우돌 모험이 펼쳐진다  아버지에게 유산으로  장화신은 고양이 를 받은 피터  공주를 사랑하지만 무일푼인 그를 위해 장화신은 고양이는 피터를  카라바스 후작 으로 만들기로 결심하고 성으로 들어가 왕과 왕비에게 선물을 바치며 호감을 얻는다  왕비의 산책길을 미리 파악해 피터를 자연스럽게    왕비에게 소개시키는데 성공한 고양이와 피터  성으로 초대된 피터에게 반한 왕과 왕비는 피터의 성을 방문하기를 원하고 피터를 시기하는 챔블란은 피터가 후작이 아닌  보잘 것 없는 방앗간 집 막내 아들이라는 사실을 알아내는데    과연 피터는 위기를 극복하고 무사히 공주와의 결혼에 성공할 수 있을 것인가  
4, 더빙  매직빈,액션,전설적인 사부의 가르침을 따라 절대마법을 수련하는  빈   하지만 반복되는 힘든 수련에 지친 친구들은 하나 둘씩 포기하고  결국  빈 은 마을의 마지막 훈련생이 된다  그러던 어느 날  마을에  절대마법 금지령 이 내려지고 설상가상 도둑으로 몰려 산꼭대기의 무시무시한 곳으로 끌려가게 된다  과연  빈 은 모두의 비웃음을 이겨내고 마을을 지키는 슈퍼콩으로 거듭나 최고의 매직 마스터가 되는 꿈을 이룰 수 있을까  꿈꾸는 아이들을 위한 매직 드림 어드벤처가 시작된다 
5, 더빙  가면라이더 이그제이드 외전   브레이브   스나이프,액션,소멸된 환희의 등장에 당혹감을 감출 수 없는 인준  하지만 환희는 부활한 러블리카에게 조종당하고 있었던 것이다  그리고 나희를 쫓아 미국에서 날아온 게이머  루크는 시완의 진료실에 들이닥치자마자 게임병이 발병하고 만다  공략이 까다로운 연애게임 앞에서 인준과 시완은 분투한다 
6, 더빙  다이노코어 에볼루션  ,액션,드래곤스톤의 힘을 얻은 렉스와 아칸은 코스모사우루스의 왕주먹을 파괴하며 다시 한번 위기에 빠졌던 다이노행성을 구한다  그런데 갑자기 하늘에서 수상한 큐브가 떨어지고  호기심에 만지작거리던 레오는 큐브에서 발생한 힘에 감전이 되나 싶더니 어느새 팔에 다이노튜너가 채워진다  모두 큐브의 정체를 궁금해하던 중 익룡 메카다이노가 나타나 큐브를 훔쳐 달아난다  갑자기 레오의 튜너가 스스로 움직여 큐브를 쫓기 시작하고 레오도 튜너에 이끌려 덩달아 메카다이노를 쫓게 된다  위험한 추격속에 위기를 맞은 레오는 튜너의 힘을 얻어 다이노마스터로 다시 태어난다  멋진 수트를 입은 레오는 메가파이터 크로노를 소환하여 메카다이노로부터 위험에 빠진 시민을 구한다 
7,앵그리버드 피기테일즈 시즌  ,액션,짖궂은 졸병 돼지들의 삶  또 문제를 해결하기엔 한계가 있는 지혜  피기테일즈에서는 한번도 본 적 없는 우리의 초록색 돼지들의 삶을 살펴 보실 수 있습니다 
8, 더빙  두부요괴,액션,말캉말캉하고 몰랑몰랑한 두부  사상 최강 귀요미의 코믹 반전 공개 큰 머리에 짧은 팔다리로  등신 비율을 자랑하는 꼬맹이  두부   귀엽고 우스꽝스러운 외모로 요괴와 인간들에게 놀림을 받는데다 인간들에게 제대로 겁을 주지 못한다며 아빠에게 매일 혼이 나던  두부 는 진짜 요괴로 변신하기 위해 스승  달마 와 함께 집을 나온다  하지만 사악한 너구리들의 꼬임에 넘어가 낡은 오두막에 갇히게 되고     년 후 간신히 탈출하게 된다  탈출한 세상이 온통 변해있는데다 요괴들의 모습은 온데간데 찾아 볼 수 없는 곳임을 알게 된  두부   과연  두부 는 완전히 다른 세상에서 무서운 요괴로 변하겠다는 결심을 지킬 수 있을까 
9, 더빙  터닝메카드W   반다인의 비밀,액션,강력한 메카니멀의 탄생  운명을 건 배틀이 다시 시작된다  평화로운 나날을 보내고 있는 나찬과 친구들  프랭클린 박사의 호출로 나찬과 이소벨  반다인은 트라이포스로 향하고 연구소에서 탄생한 새로운 메카니멀들을 테이밍한 후 직접 교육해야 하는 임무를 맡는다  윙나이트 와  윙레오    하이테로   각각 영혼을 가진 네 개의 발사체인  사성수 를 이끄는  마스터   나찬과 이소벨  반다인은 각자 메카니멀 레이더로 새롭고 강력해진 메카니멀을 추적해 테이밍한다  한편 다시 만난 반다인은 험악한 표정으로 나찬에게 갑작스러운 메카니멀 배틀을 신청하는데   
10, 더빙  헬로 카봇 스페셜   지구를 부탁해,액션,시계를 돌리면 나타나 차탄을 도와주는 카봇 친구들  재난이 일어나면 등장하는 구조대 카봇 마이티가드  강력한 파워의 최강 합체 카봇 펜타스톰  사건이 터지면 등장하는 경찰특공대 카봇   캅스  거리의 안전을 지키는 대중교통 카봇 로드세이버까지 
11, 더빙  벅스봇 이그니션 part  ,액션,숲을 지키기 위한 장수풍뎅이족과 사슴벌레족의 전쟁  강력한 뿔파워로 승부를 뒤집어라  어느 날 원인 불명의 바이러스가 숲에 퍼진다  숲을 치료하려는 장수풍뎅이족과 불태우려는 사슴벌레족은 전쟁을 하게 되고  전쟁에서 이기기 위해 인간들과 벅스 버디 계약을 맺는다  벅스 버디와 함께 숲의 에너지인  에코라 가 결정화된 코인을 사용하며 듀얼을 하는 벅스봇들  곤충의 힘인 버그 코인   대 원소의 힘인 엘리멘탈 코인  정령을 소환하는 스피릿 카이저 서먼 코인의 스킬을 사용해 배틀 필드에서 싸운다 
12, 더빙  헬로 카봇 스페셜   헬로 스피너블,액션,랩터쿵  안킬로쿵  아르케쿵  프테라드롭쿵과 스피너블  버디가드 카봇의 만남  정신없는 쿵들과 정의감 넘치는 카봇들의 이야기
13,런닝맨  풀룰루의 역습,액션, 런닝맨들은 결코 씻을 수 없는 죄를 범했노라   멸망 위기의 세상을 구하고 영웅이 된 런닝맨들  어느 날  풀룰루족들로 가득 찬 경기장으로 그들을 데려온 제사장  아콩 은 런닝맨들을 죄인으로 몰며 강제로 게임에 출전시킨다  이름하여  런닝맨 서바이벌   탈출할 수 있는 기회는 단 한 번뿐  각종 함정과 거대 미로가 가득한 이곳에서 런닝맨들은 과연 탈출에 성공하고 누명을 벗을 수 있을까  
14,사쿠라 대전   칸자키 스미레 은퇴 기념,액션,그동안 제국 가극단  화조 에서 활약을 해 온 칸자키 스미레가 은퇴를 선언한다  따분하고 자극이 없는 생활에서 벗어나 칸자키 중공업에 들어가 직업여성으로서 새롭게 시작한다는 것  스미레는 자신의 마지막 은퇴 쇼를 앞두고 최고의 쇼를 위하여 최선을 다하는데   
15,키카이더 리부트,액션,로봇의 평화적 이용으로 일본국민에게 행복을 가져올 것이라는     프로젝트 가 진행되고 있다  하지만 그 과정에서 로봇에게 인간보다 더 인간같은  마음     양심회로 를 가지게 하려고 한 주임연구원의 코묘지박사와 그것을 부정하는 입장의 연구원 길버드 칸자키가 격렬하게 대립한다  그런 시기에 코묘지박사가 갑작스런 사고로 죽게되고 그가 아들 마사루의 몸에 남겨둔 연구데이터를 노리고 수수께끼의 특수부대가 움직이기 시작한다  적들에 노려지고 있는 마사루와 마사루의 누나 미츠코를 지키기 위해 코묘지가 만든 안드로이드 지로  같이 지내는 동안 미츠코와 지로는 인간과 안드로이드의 벽을 넘어  조용히  마음 이 통해가지만 지로 키카이더를 파괴하려고 하는 암흑의 전사 하카이다가 나타나는데   
16, 더빙  벅스봇G,액션,모두가 동경하는 곳  그랜드 코어 사립학교에선 입학 희망자들을 대상으로 입학시험을 거치는데  바로  벅스봇 제네시스 라는 온라인 게임의 성적으로 평가를 본다  지금부터 주인공 시우는 그랜드 코어 사립학교에 입학하기 위해 게임 속 플레이어가 되어 게임을 클리어 해야만 한다  게다가 게임을  등으로 클리어할 경우  그랜드 코어 사립학교 입학권과 더불어 초 특급 레어 시크릿 카드가 상품으로 주어지는데    지금부터 엄청난 특혜와 상품이 걸린  벅스봇 제네시스 게임의 위대한 서막이 열린다 
