,titles,category,summary
0, 자막  블랙 클로버  기,액션,리히트의 전생 마법이 발동하면서 수많은 사람들이 엘프에게 몸을 빼앗기고 클로버 왕국은 혼란에 빠진다  마법 기사단의 기사들조차 자신이 엘프의 백성임을 자처하면서 멀쩡한 인간과 동료들을 향해 공격을 퍼붓는다  아스타와 유노는 엘프가 부르짖는 인간을 향한 복수를 저지하기 위해 전생 마법에 걸린 동료들을 구하며 왕도로 향한다 
1,헬싱 얼티메이트 OVA,액션,영국을 이도교로부터 지키는 왕위국교기사단  통칭 헬싱 기관  그곳에는 인간에게 길러진 흡혈귀가 있다  거대한 쌍권총을 다루는 괴물의 이름은 아카드  그리고 궁극의 괴물에 도전하는 전쟁광 소령  전장으로 탈바꿈 한 영국을 무대로 궁국의 싸움이 시작된다 
2,SSSS GRIDMAN,액션,갑자기 나타나 도시를 파괴하는 괴수  그리고 그 괴수와 맞서 싸우는 거인  하지만 다음날이 되면 그 싸움은 아무도 기억하지 못하고  그 싸움에서 희생된 자들의 존재는 잊혀진다  누군가에게 위협받고 있는 이 세계를 외로이 지키는 거인 그리드맨과 그 친구들의 이야기 
3,BANANA FISH,액션,바나나 피쉬라를 둘러싸고 벌어지는 음모이론에 충실한 미스테리 형식의 작품 뉴욕의 스트리트 보이 갱단  차이나 타운의 암흑가 세력  마피아 집단 과연 바나나 피쉬를 둘러싼 최후의 승자는 누구일까 
4,블리치  기,액션,소울 소사이어티  오오마에다는 일을 땡땡이 치며 낮잠을 자다 자신의 부주의로 인해 언덕에서 떨어지고 만다  몸을 추스리고 일어난 오오마에다 앞에는 눈을 빛내며 감격하고 있는 한 소년이 서 있는데  류자부로라 자신의 이름을 밝힌 소년은 오오마에다가 호로 로부터 자신을 구해주었다고 하며  은인의 이름을 알려달라고 한다  오오마에다는 소년에게 허세를 부리며 자신을  번대 대장이라고 거짓말을 하고  번대 대장으로서 류자부로에게 찬양 받는 오오마에다  그러나 그 광경을 소이퐁에게 들키고 마는데   
5,아르슬란 전기  기,액션,나라가 불타고 있다  세상은 얼마나 넓을까  강국  파르스 의 왕자 아르슬란은 아직까지 그 무엇도 아니었으며 그저 호기심만이 가득했다   못미덥다    나약하다    기량이 부족하다 는 말만을 듣던 아르슬란이 열네 살이 되었을 때 먼 나라의 이교도들이 파르스를 침공  왕자 아르슬란은 첫 출전을 맞는다  파르스 군은 고금무쌍  이 전투도 파르스의 압승으로 끝나리라 그 누구도 믿어 의심치 않았다  나락으로 떨어진 아르슬란의 운명   격동의 영웅담 개막  
6, 더빙  페어리 테일  기,액션,대마투 연무에 이은 최후의 결전이 시작된다   점점 다가오는 어두운 미래  과연 이클립스 계획의 정체는  
7,학전도시 애스터리스크  기,액션,  세기 지구를 덮친 미증유의 대재해 낙성우 인벨티아   그 대재해로 인해 세계의 여러 도시가 괴멸했다  하지만 이 운석에서 발견된 미지의 원소만응소 마나 는 인간의 과학기술을 크게 발전시켰고  더불어  성맥세대 제네스텔라  라고 불리는 특수한 힘을 가진 신인류를 만들어냈다  세계 최대 종합 배틀 엔터테인먼트  성무제 의 무대   개의 학교에 둘러싸인 통칭  애스터리스크 라고 불리는 수상학원도시  릿카   세이도우칸학원 고등부에 전학 온 특대생 아마기리 아야토는 자신의 소원을 이루기 위해  이 도시에서 싸울 것을 결심한다  뜨거운 혼이 질주하는 학원 배틀 엔터테인먼트가 여기 개연한다 
8,초인 고교생들은 이세계에서도 여유롭게 살아가나 봅니다 ,액션,고교생이면서 총리대신이 된 천재 정치가 미코가미 츠카사는 마찬가지로 고교생의 나이에 의사  마술사  저널리스트  검호  사업가  발명가로서 세계 최고봉에 군림하는  명의 학생들과 비행기를 함께 탔다가 사고에 휘말리고 만다  그들이 눈을 뜬 그곳은 마법과 수인이 존재하는 이세계  갑작스런 사태에 그들은 혼란    스러워하지도 않고     전기도 없는 세계에서 발전소를 만들거나  잠깐 돈벌이에 나간 것만으로도 대도시의 경제를 좌지우지하거나  끝끝내 비정에 시달리는 은인들을 위해 악덕 귀족과 전쟁을 하거나  제멋대로   그렇다  그들은 누구도 평범한 고등학생이 아니라  각각 정치  경제  과학 및 의료의 정점에 서있는 초인 고등학생이었던 것이다  이것은 지구 최고의 지혜와 기술을 지닌 드림팀이 펼치는 오버 테크놀로지를 자중하지 않는 이세계 혁명 이야기다 
9, 더빙  블랙 클로버  기,액션,어린 시절 부모에게 버림을 받고 빈민 지역 교회에서 자란 아스타와 라이벌 유노  두 사람은 마법 세계의 정점인 마법제가 되겠다는 목표를 가지고 있다  그러나 아스타는 전혀 마력을 가지고 있지 않아 마법 기술을 쓰지 못하는 반면  유노는 어린 나이에도 불구하고 엄청난 마법의 소유자로 촉망 받는다  시간이 흘러 두 사람은   세가 되고  마력을 가진   세 아이들에게 마법기사단에 들어갈 수 있는 기회가 찾아온다  유노는 강력한 마력으로 초대 마법제가 받았던 행운이 담긴 네잎 클로버 마도서에게 선택받는 반면  아스타는 우여곡절 끝에 악마가 깃든 다섯 잎 클로버 마도서를 손에 넣게 된다  반년 후 마법기사단 입단 시험에 응시하는 아스타와 유노  아홉 개의 단으로 나눠진 마법기사단 모두에게 선택 받은 유노는 최강의 마법기사단  금색의 여명 에 들어간 반면  아스타는 간신히  검은 폭우 단에 선택되어 그들의 꿈을 좇게 되는데 
