,titles,category,summary
0,주술회전 part  ,판타지,소년은 싸운다      올바른 죽음 을 위해 쓰라린 고통  후회  치욕 인간으로부터 흘러나온 부정적인 감정이 저주로 변해 일상에 숨어든다  저주는 세상에 만연한 재앙의 근원이며  최악의 경우 인간을 죽음으로 이끈다  그리고 저주는 저주로밖에 없앨 수 없다  경이적인 신체능력을 가진 소년 이타도리 유지는 아주 평범한 고등학생이었지만  어느 날  저주 에 습격당한 친구를 구하기 위해 특급 주물  양면 스쿠나의 손가락 을 먹고 영혼에 저주가 깃들게 된다  저주인  양면 스쿠나 와 몸을 공유하게 된 이타도리는 최강의 주술사인 고죠 사토루의 안내로 저주에 대항하는 전문 기관인  도쿄 도립 주술 고등전문학교 에 편입하게 되는데       저주를 없애기 위해 저주가 된 소년의 돌이킬 수 없는 장렬한 이야기가 움직이기 시작한다  
1, 무삭제  귀멸의 칼날,판타지,숯을 파는 마음씨 착한 소년 탄지로는  어느 날 혈귀에게 가족을 몰살당한다  유일하게 살아남은 누이동생 네즈코 마저도 혈귀로 변하고 마는데    절망적인 현실에 큰 타격을 입은 탄지로였지만  동생을 인간으로 돌려놓기 위해  가족을 죽인 혈귀를 심판하기 위해   귀살대 의 길을 가기로 결의한다  인간과 혈귀가 엮어낸 애절한 오누이의 이야기가 지금 시작된다  
2,은혼  기,판타지,에도 시대 말기  하늘에서 내려온  천인 의 침략으로 전쟁이 발생한다  막부들은 결국 천인과의 공존을 위해 사람들에게 검을 소지할 수 없도록 폐도령을 내려서 사무라이가 큰 위기를 겪고 있다  그러나 사무라이 정신을 굳게 간직한 남자가 있었으니 그의 이름은 사카타 긴토키  단 것을 좋아하는 저돌적인 이 남자가 부패한 에도를 두동강을 낼지도      코미디 액션   은혼의 장르는 은혼이다  
3,전생했더니 슬라임이었던 건에 대하여  기,판타지,샐러리맨인 미카미 사토루는 길에서 칼에 찔려 죽었다  하지만 문득 정신이 들어 깨어나보니 이세계로 전생해있었다  그것도 슬라임의 모습으로  리무루라는 이름으로 새롭게 슬라임 인생을 얻어  여러 종족이 함께 사는 세계에 떨어지게 된 그는  종족은 상관없이 모두가 행복하게 살 수 있는 나라 를 만드는 것을 새로운 인생 목표로 삼게 된다 
4,귀멸의 칼날   환락의 거리편,판타지, 매주 화요일 오전 라프텔에서 만나보세요   무한열차의 임무를 마친 탄지로 일행의 다음 행선지는  귀살대 최고의 검사  주 의 한 사람  음주  우즈이 텐겐과 탄지로 일행의 새로운 싸움의 막이 열린다 
5,주술회전 part  ,판타지,소년은 싸운다      올바른 죽음 을 위해 쓰라린 고통  후회  치욕 인간으로부터 흘러나온 부정적인 감정이 저주로 변해 일상에 숨어든다  저주는 세상에 만연한 재앙의 근원이며  최악의 경우 인간을 죽음으로 이끈다  그리고 저주는 저주로밖에 없앨 수 없다  경이적인 신체능력을 가진 소년 이타도리 유지는 아주 평범한 고등학생이었지만  어느 날  저주 에 습격당한 친구를 구하기 위해 특급 주물  양면 스쿠나의 손가락 을 먹고 영혼에 저주가 깃들게 된다  저주인  양면 스쿠나 와 몸을 공유하게 된 이타도리는 최강의 주술사인 고죠 사토루의 안내로 저주에 대항하는 전문 기관인  도쿄 도립 주술 고등전문학교 에 편입하게 되는데       저주를 없애기 위해 저주가 된 소년의 돌이킬 수 없는 장렬한 이야기가 움직이기 시작한다  
6,전생했더니 슬라임이었던 건에 대하여  기  부,판타지,주인공 리무루와 그를 따르는 다수의 마물들이 세운 나라  쥬라 템페스트 연방국 은 근린 국가들과의 협정과 교역을 통해  인간과 마물이 공존하는 나라 라는 이상을 현실로 만들려 하고 있었다  이는 인간이었던 슬라임에서 기인한 리무루의  인간에 대한 호의  였다  하지만 이 세계에는 명확한  마물에 대한 적의 가 존재하고 있었다  그 불합리한 현실을 마주했을 때  리무루는 선택한다   무엇을 잃고 싶지 않은지 를      
7,방패 용사 성공담 Season  ,판타지,평범한 오타쿠 대학생 이와타니 나오후미는 도서관에서 책을 보던 도중 사성무기서라는 책을 발견하고 그 책을 보게 된다  그 순간 정신을 잃게 되고 깨어보니 검  창  활의 용사와 함께 자신도 모르게 이세계에 소환되어 있었다  그리고 그의 손에는 어째서인지 방패가 붙어있었다 
8,지박소년 하나코 군,판타지, 하나코 씨  하나코 씨  거기 계십니까   학원에 전해지는 불가사의한 소문  구교사  층 여자화장실 세 번째 칸에는  하나코 씨 가 있어 이를 불러낸 사람의 소원은 무엇이든지 이뤄준다고 한다  자신의 소원을 이루기 위해 야시로는 학교의 괴담에 몸을 바친다  학원의 불가사의  하나코 군 과 오컬트 소녀  야시로 가 펼치는 하트풀 화장실 코미디 
9, 자막  나의 히어로 아카데미아  기,판타지,뉴 히어로 탄생에 주목하라   신세대 히어로  한국 상륙   인구의 약  할이 개성이라 불리는 초능력을 갖고 있는 초인 사회로 탈바꿈한 세계  대부분의 사람들이 개성을 보유하고 있기 때문에 이를 악용한 범죄가 폭발적으로 급증하고 이에맞서 싸우는 히어로들은 시민 모두의 동경의 대상이 되었다  세계의 평화를 수호하는 특수경찰과 같은 역할자  히어로 의 인기는 날이 갈수록 치솟기 시작하고 히어로를 양성하는 국립기관까지 세워질 정도  중학생 소년 미도리야 이즈쿠도 그런 히어로를 꿈꾼다  하지만 그는 히어로에게 필수적인  개성 을 타고나지 않았는데     타고난 초능력이 없어서 소외되던 작은 소년의 도전  성장  열정 스토리   그리고 새롭게 나온  기에서는 지난     습격 사건 이후의 이야기가 시작된다  드디어 유에이 체육제 시작   그리고 그랜 토리노 등장 
