titles,category
 자막  데스노트 리마스터,추리
문호 스트레이 독스  기,추리
 더빙  데스노트 리마스터,추리
문호 스트레이 독스  기,추리
문호 스트레이 독스  기,추리
 더빙  명탐정 코난  기,추리
 자막  명탐정 코난   기,추리
나만이 없는 거리,추리
 더빙  명탐정 코난  기,추리
 자막  명탐정 코난     ,추리
 더빙  명탐정 코난  기,추리
 더빙  명탐정 코난  기,추리
 더빙  명탐정 코난   기,추리
 더빙  명탐정 코난   기,추리
 더빙  명탐정 코난   기,추리
 자막  명탐정 코난     ,추리
 더빙  탐정학원  ,추리
 더빙  소년탐정 김전일           기,추리
 더빙  명탐정 코난   기,추리
 더빙  소년탐정 김전일           기,추리
문호 스트레이독스 멍 ,추리
무능한 나나,추리
 자막  명탐정 코난   기,추리
             기,추리
 더빙  명탐정 코난   기,추리
단간론파   희망의 학교와 절망의 고교생,추리
 더빙  명탐정 코난   기,추리
 자막  명탐정 코난   기,추리
 더빙  소년탐정 김전일           기,추리
허구추리,추리
쓰르라미 울 적에 업       ,추리
 자막  명탐정 코난   기,추리
페르소나                ,추리
             기  신편집판 ,추리
 자막  명탐정 코난  기   판권 부활,추리
 더빙  소년탐정 김전일  ,추리
단간론파              키보가미네 학원   절망편,추리
 자막  괴도 키드     ,추리
             기,추리
사쿠라코 씨의 발밑에는 시체가 묻혀 있다,추리
 더빙  소년탐정 김전일   시즌 ,추리
우국의 모리아티       ,추리
단간론파             키보가미네 학원   미래편,추리
사라잔마이,추리
 더빙  괴도 키드     ,추리
공의 경계  장 부감풍경,추리
쓰르라미 울 적에 졸,추리
극장판 문호 스트레이 독스           ,추리
 더빙  쥬로링 동물탐정,추리
 자막  소년탐정 김전일           기,추리
하카타 돈코츠 라멘즈,추리
쓰르라미 울 적에 업       ,추리
 더빙  괴도 키드 스페셜,추리
우국의 모리아티       ,추리
 더빙  명탐정 코난   감청의 권,추리
 자막  명탐정 코난   비색의 부재증명,추리
 더빙  명탐정 코난   진홍의 수학여행,추리
미소년 탐정단,추리
루팡  세       ,추리
이케부쿠로 웨스트 게이트 파크,추리
보석상 리처드 씨의 수수께끼 감정,추리
루팡  세    명탐정 코난,추리
공의 경계  장 살인고찰  전 ,추리
           에도가와 란포  소년탐정단 으로부터 ,추리
 자막  명탐정 코난   감청의 권,추리
                                 ,추리
공각기동대,추리
 더빙  루팡  세       ,추리
엉덩이 탐정 시즌  ,추리
공의 경계  장 모순나선,추리
