,titles,category,summary
0,후궁의 까마귀,모험,줄거리 고독한 오비의 알려지지 않은 정체는 과연   후궁 깊숙한 곳에 살고 있고  비의 자리에 있으면서 밤 시중을 들지 않는 특별한 존재 오비   그 모습을 본 사람들은 그게 노파였다고 말하기도 했고  소녀였다고 말하기도 했다    오비의 이름은 수설  그녀는 신비한 술법을 사용해 주살에서 물건 찾기까지 무슨 일이든 맡아준다고 한다   이에 현 황제인 고준이 어떤 의뢰를 위해 수설이 있는 곳에 찾아갔다   두 사람의 운명은 역사도 뒤엎는  비밀 을 파헤치게 되었는데       접기
1,리코리스 리코일,모험,줄거리 평온한 일상  그 이면에는 비밀이 있다  범죄를 미연에 방지하는 비밀 조직                      그곳의 에이전트인 소녀들  리코리스   당연한 일상도  그녀들 덕분이다   역대 최강의 리코리스라고 불리는 엘리트 니시키기 치사토  우수하지만 사연이 있는 리코리스 이노우에 타키나가 근무하는 카페  리코리코 도 지부 중 하나다   이곳에서 받는 주문은 커피와 디저트 주문부터  아이 돌보기  구매 대행  외국인을 위한 일본어 강사 등  리코리스 답지 않은 일 투성이다   자유로운 낙천가이자 평화주의자인 치사토와 쿨하고 효율을 중시하는 타키나   좌충우돌 콤비의 엉망진창인 일상이 시작된다       접기
2,섀도 하우스  nd Season,모험,줄거리 이 저택에는  아직  비밀이 있다    선보이기 를 끝마친 케이트 에밀리코 및 동기  인방은 성인으로서 새로운 생활을 시작했다    섀도 하우스 의 수수께끼를 알아내지 못한 가운데 아이들 동에서는 새로운 사건이 발생   반란 분자라고 별 보유에게 의심을 받게 된 케이트와 에밀리코는 범인이라 여겨지는  로브를 뒤집어쓴 정체불명의 그림자의 정체를 파헤치게 되었다   과연 정체불명의 그림자의 목적은       접기
3, 극장판  영원의    ,모험,줄거리  전례 없는 대재난 으로 전 세계가 몹시 혼란스러운 현대  도쿄에서 신문 장학생으로 생활하고 있는 청년 아사노 스즈시로는  누구에게도 말할 수 없는 비밀을 품고 있었다  고등학교  학년 여름에 일어난 어떤 사건을 계기로  자신의 의지와는 상관없이  주위의 시간을 멈출 수 있게 돼버린 것이다   그러던 어느 날  스즈시로는 처음으로 그 비밀을 공유할 수 있는 상대를 만난다  자신과 마찬가지로 마음에 상처를 입고 시간을 멈출 수 있게 된 소녀 나즈나   그녀가 오빠인 세리에 의해 범죄에 이용되고 있다는 사실을 알게 된 스즈시로는 충동적으로 손을 내민다    너    나하고 같이 도망가자    멈춰버린 시간을 두 사람은 다시 움직일 수 있을 것인가       접기
4,로드 엘멜로이  세의 사건부    레일 체펠린  그레이스 노트 특별편,모험,줄거리 로드 엘멜로이  세에게 도착한 한 통의 편지 그것은  동창회가 열리는 것을 알리는 내용이었다   하지만 개최일이 가까워오던 어느 날 아침  로드 엘멜로이  세는 거울에 비친 자신의 모습에 경악한다  몸이   년 전의 웨이버 벨벳의 모습으로 되돌아가 있었다   고도의 환술에 의한 것이라고 추측한 로드 엘멜로이  세는 자신의 몸에 일어난 이변을 해명하기 위해 조사를 진행한다  그리고 동창회 당일 동기들이 모여 떠들썩한 연회장으로 가 이 변신을 일으킨 인물과 그 목적을 밝힌다  하지만 사태는 아오자키 토우코의 등장으로 생각지 못한 방향으로 나아가게 되는데     접기
5,데지 미츠 걸,모험,줄거리 오키나와에 살고 있는 고등학교  학년 히가 마이세는 가업인 호텔에서 프런트 업무를 보는 아르바이트를 하면서 지루한 여름방학을 보내고 있었다   어느 날  도쿄에서 한 명의 숙박객이 찾아왔다  특별한 사정을 가진 그 남자의 이름은 스즈키 이치로     스즈키가 오고 나서부터 방 안에서 물고기들이 헤엄친다든지  천장을 꿰뚫고 거대한 나무가 자라난다든지 하는 이상한 일들이 호텔에서 벌어지기 시작했는데   둘 사이에서 별안간 벌어지는 불가사의한 일들이란 과연     접기
6,Sonny Boy,모험,줄거리 소년 소녀들의 새로운 표류 이야기가 시작된다   기나긴 여름 방학도 반 정도 지나간  월   일  학교에 모여있었던 중학교  학년 나가라와 다른 학생들은 갑자기 생각할 수도 없는 사태에 휘말렸다  나가라 자신은 물론이고 수수께끼의 전학생 노조미나 미즈호  아사카제 등    명의 동급생들과 함께 학교가 다른 차원을 표류하게 된 것이다   거기에다 그들은 표류함과 동시에 여러 가지  능력 을 입수  인지를 초월한 능력에 기뻐하며 자기 멋대로 날뛰는 사람이 있는가 하면  리더로서 다른 학생들을 통솔하려 하는 사람도  원래 세계로 돌아가는 방법을 필사적으로 찾는 사람도 있었다   소용돌이치는 불신과 억누를 수 없는 질투 그리고 지배욕으로부터 오는 대립  꼬리를 물고 일어나는 불가사의한 사태 앞에서 소년 소녀들은 갑자기 서바이벌 생활에 내던져지게 되었다  과연 나가라 일행은 이 세계를 공략해서 무사히 원래 세계로 돌아갈 수 있을 것인가     접기
7,쓰르라미 울 적에 졸,모험,줄거리 도심에서 멀리 떨어져 울창한 자연에 둘러싸인 마을 히나미자와  한때  댐 밑으로 가라앉을 예정이었던 마을은 지금도 여전히 예전과 다름없는 모습으로 전학생 마에바라 케이이치를 맞이한다   도시에서 살다 온 케이이치에게 히나미자와의 친구들과 보내는 활기차고 평화로운 일상은  언제까지고 계속될 행복한 시간일 터였다    년에 한 번 시행되는 마을의 축제  와타나가시  그날이 오기 전까지는         년  월 쓰르라미가 울 적에  일상은 갑자기 끝을 알리고  멈추지 않는 참극의 연쇄가 시작된다     접기
8,탐정은 이미 죽었다 ,모험,줄거리 너  내 조수가 돼라   사건에 휘말리는 체질의 소년 키미즈카 키미히코는 상공  만 미터 위를 나는 비행기 안에서 자신이 탐정이라고 하는 천사같이 아름다운 소녀 시에스타의 조수가 되었다   두 사람은 세계의 적과 싸우기 위해  년에 걸쳐 세상 이곳저곳을 돌아다니고 눈앞이 아찔해지는 모험극을 펼친 끝에   죽음으로써 헤어졌다   격동의 나날들로부터  년  고등학교  학년이 된 키미즈카는 일상이라는 이름의 평화로우면서 안락한 나날들 속에서 극히 평범한 고등학생 생활을 보내고 있었다  그런 키미즈카에게 한 명의 의뢰인이 찾아왔다     네가 그 명탐정이야    동급생 소녀인 나츠나기 나기사와의 만남을 계기로  과거와 현재를 잇는 장대한 이야기가 다시 한번 시작되려 하고 있었다     접기
9,미소년 탐정단,모험,줄거리   년 전에 단 한 번 봤던 별을 찾는 소녀 도지마 마유미  그녀는  미소년 탐정단 의 사무소를 방문한다   그곳에 있던 것은 개성 풍부한 다섯 명의 미소년들  그들과의 만남으로 마유미의   년 동안의 별 찾기는 크게 변하기 시작하는데   눈이 부실 정도로 아름다운 수수께끼 풀이 모험담 여기에 개막     접기
10,섀도 하우스,모험,줄거리 이 저택에는 비밀이 숨겨져 있다   벼랑 끝에 서 있는 커다란 저택  섀도 하우스 에서 귀족을 흉내 내는  얼굴이 없는 일족  섀도   그들의  얼굴 로서 섀도를 섬기는 시중 담당  살아 있는 인형    어느 날  섀도 일족의 소녀 케이트에게 한 명의 살아 있는 인형이 찾아오게 되고  그렇게 그림자와 인형의 기묘한 일상이 시작되었다   기묘한 고딕 미스터리  드디어 애니화     접기
