,titles,category,summary
0,SPY FAMILY Part  ,개그,줄거리 사람은 누구나 아무에게도 보여줄 수 없는 자신을 갖고 있다   세계 각국이 물밑에서 치열하게 정보전을 펼치는 시대  오스타니아와 웨스탈리스는 십수 년간에 걸쳐 냉전 상태에 있었다   웨스탈리스의 정보국 대동과        소속의 수완가 스파이인  황혼  은 동서 평화를 위협하는 위험인물  오스타니아의 국가통일당 총재 도노반 데스몬드의 동향을 살피기 위해 어떤 극비 임무를 수행하게 된다   그 이름은 오퍼레이션  올빼미    임무 내용은  일주일 이내에 가족을 만들어  데스몬드의 아들이 다니는 명문 학교의 친목회에 잠입하라     황혼  은 정신과 의사 로이드 포저로 위장하고 가족을 만들게 된다  하지만  그가 만난 딸 아냐는 마음을 읽을 수 있는 초능력자  아내 요르는 암살자였다   명의 이해가 일치하여 서로 정체를 숨기면서 함께 생활하게 되는데   해프닝 연속인 임시 가족에게  세계의 평화는 맡겨졌다                                                      접기
1,아키바 메이드 전쟁,개그,줄거리     년 봄  귀여운 메이드를 동경한 한 명의 소녀가 아키하바라에 찾아왔다   그렇게 도착한 세기말 아키바는 다양한 메이드들로 가득했는데   메이드 카페  톤토코톤   통칭  돼지우리   오늘도 꿀꿀거리며 영업 중   만넨 란코라 하는 신입 메이드와 같이 일하게 된 가운데  드디어 시작하게 된 첫 업무에선 우당퉁탕 실수 연발   최애 메이드나 조교사  아키바 밖에서 온 생명체 등도 나타나면서 빨간 배트는 풀 스윙  이것은  모든 주인님과 아가씨들에게 바치는 혼신의 메이드 업무 분투기    모두 방문하시기를 기다리고 있겠습니다꿀                                               접기
2,팝 팀 에픽 Season  ,개그,줄거리 이것은 꿈과 희망의 이야기  그냥 쓰레기    인류에게 너무 이른  저세상 만화 가 죽지도 않고 다시 한번 애니메이션으로 돌아왔다    도전적이고 패기 넘치는 소재와 이해할 수 없는 개그   애니메이션이 꼭 재밌을 거라는 선입견을 버려라       접기
3,쿨하고 바보 같은 남자,개그,줄거리 유난히 눈길을 끄는  쿨하고 멋있는 남자들  어딘가 다가가기 어려운 면이 있지만     그들은 모두  바보 였다   지갑을 잃어버린다든지  지하철에서 이어폰은 꽂지 않은 채 노래를 틀어놓는다든지  콘택트렌즈를 낀 채로 안경을 올리는 동작을 한다든지  주름 빨대인 걸 모르고 입구 부분을 음료수에 꽂아 쓴다든지  우산이랑 헷갈려서 구둣주걱을 들고 다닌다든지   그런 바보 같은 모습조차 쿨하게 소화해버리는  쿨하고 바보 같은 남자 들   바보 같은 짓도 하지만 있는 그대로의 모습으로 열심히 살아가는 그들의 일상담을 전해드립니다       접기
4,피터 그릴과 현자의 시간 Super Extra,개그,줄거리 현란무투제에서 우승해 지상 최강의 칭호를 손에 넣은 피터 그릴   이제 약혼자인 루벨리아와 결혼할 수 있다고 생각했는데 수많은 이종족 여자들이 피터의 씨앗을 노리고 끊임없이 피터를 유혹하기 시작했다   무력은 최강인 피터였지만 의지는 최약인 수준이었다  몇 번이고 유혹에 굴복해 하반신을 허락하기 일쑤   그러던 중 무시무시한 고블린 웨이브가 발생했다는 소식이 들려온다  서둘러 진압에 나선 피터였지만  전장에서는 예상 밖의 만남이 기다리고 있었다   고블린의 콜로니  엘프 마을  드워프 마을    무대는 바뀌어도 유혹은 끝나지 않는다   지상 최강의 현자 타임이 다시 한번 막을 올린다       접기
5,SPY FAMILY  한국어 더빙 ,개그,줄거리 사람은 누구나 아무에게도 보여줄 수 없는 자신을 갖고 있다   세계 각국이 물밑에서 치열하게 정보전을 펼치는 시대  오스타니아와 웨스탈리스는 십수 년간에 걸쳐 냉전 상태에 있었다   웨스탈리스의 정보국 대동과        소속의 수완가 스파이인  황혼  은 동서 평화를 위협하는 위험인물  오스타니아의 국가통일당 총재 도노반 데스몬드의 동향을 살피기 위해 어떤 극비 임무를 수행하게 된다   그 이름은 오퍼레이션  올빼미    임무 내용은  일주일 이내에 가족을 만들어  데스몬드의 아들이 다니는 명문 학교의 친목회에 잠입하라     황혼  은 정신과 의사 로이드 포저로 위장하고 가족을 만들게 된다   하지만  그가 만난 딸 아냐는 마음을 읽을 수 있는 초능력자  아내 요르는 암살자였다   명의 이해가 일치하여 서로 정체를 숨기면서 함께 생활하게 되는데   해프닝 연속인 임시 가족에게   세계의 평화는 맡겨졌다                                                      접기
6,치미모,개그,줄거리  무츠미    하즈키    메이  세 자매가 살고 있는 오니가미 집안   어느 날  세 자매의 앞에 나타난  지옥 씨 와   마리의 귀여운 생물   치미모    그들은 지옥의 사자였다  그들의 목적은 무려  인간계를 지옥으로 만드는 것 이었다   오니가미 집안에 더부살이하는 데 성공한 지옥 씨와 치미모들  이곳을 거점으로 해서 지옥화 계획을 실행하려고 했지만  세 자매에게 좋을 대로 부려 먹히고 매일 휘둘리기만 하는 지옥 씨  귀여움 받으며  완전히 반려동물 취급을 받는 치미모   지옥화 계획은 좀처럼 진행되지 않는다   상상 이상으로 험난한 인간계에 악전고투하면서 지옥에서 성과 보고를 요구하는 상사의 전화에 고민하면서 이러지도 저러지도 못하는 지옥 씨  스스로 지옥을 맛보게 되었는데       접기
7,알바 뛰는 마왕님  ,개그,줄거리 이세계 엔테 이슬라에서는 적대하는 마왕과 용사이면서 현대의 일본 도쿄에서 여전히 이마에 땀을 흘리며 일하는 마오 사다오와 유사 에미   마왕성의 멤버들과 사랑에 빠진 여고생 치호와 함께  일본에서의 생활에 적응하고 경제의 거친 파도에 시달리는 나날   어느 날  수수께끼의 소녀가 출현해서 마왕성은 대혼란   갑자기 육아를 하게 되고  계속해서 엔테 이슬라로부터 내방자가 찾아오고 역시 일하지 않고서는 가계를 꾸려나갈 수 없었는데   마왕성은 단칸방   아르바이트 마왕님이 펼치는 서민파 판타지  파란의 애니메이션 제 막 시동        접기
8,쿠노이치 츠바키의 속마음,개그,줄거리 마을에서 멀리 떨어진 깊은 산속에  어떤 쿠노이치 집단이 살고 있었습니다  그 집단의 이름은  아카네조   개성 풍부한 쿠노이치들이 여러 반으로 나뉘어  서로 절차탁마하면서 자신의 술법을 갈고닦고 있었습니다  그런 아카네조에는  남성과의 접촉 금지 라는 절대 어겨서는 안되는 철칙이 있었습니다   아카네조 개반의 반장인 수습 쿠노이치 츠바키는 조의 우두머리도 인정하는 인술 사용자로  주위 사람들도 신뢰하는 리더 격 인물이었습니다   하지만  츠바키는 자꾸 신경 쓰이는 일이 있었습니다  그것은 지금까지 본 적도  접촉해 본 적도 없는  남자 에 대한 것   한번  만나보고 싶다    생각하면 생각할수록 멈추지 않는 가슴의 두근거림 아아  이 마음을  어떻게 하면 좋을까요    남자 금지 쿠노이치 코미디 만화가 대망의 애니화  순진하고 가련한 쿠노이치들의 따스하고 귀여운 일상  시작합니다       접기
9,SPY FAMILY,개그,줄거리 사람은 누구나 아무에게도 보여줄 수 없는 자신을 갖고 있다   세계 각국이 물밑에서 치열하게 정보전을 펼치는 시대  오스타니아와 웨스탈리스는 십수 년간에 걸쳐 냉전 상태에 있었다   웨스탈리스의 정보국 대동과        소속의 수완가 스파이인  황혼  은 동서 평화를 위협하는 위험인물  오스타니아의 국가통일당 총재 도노반 데스몬드의 동향을 살피기 위해 어떤 극비 임무를 수행하게 된다   그 이름은 오퍼레이션  올빼미    임무 내용은  일주일 이내에 가족을 만들어  데스몬드의 아들이 다니는 명문 학교의 친목회에 잠입하라     황혼  은 정신과 의사 로이드 포저로 위장하고 가족을 만들게 된다   하지만  그가 만난 딸 아냐는 마음을 읽을 수 있는 초능력자  아내 요르는 암살자였다   명의 이해가 일치하여 서로 정체를 숨기면서 함께 생활하게 되는데   해프닝 연속인 임시 가족에게   세계의 평화는 맡겨졌다                                                      접기
